户型,总价格,名字,小区,建造年代,楼层,面积,首付
        3室2厅2卫，,        155万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,99平方米,46.50万                    
        4室2厅2卫，,        135万,常平横江厦,丽景花园,2003年,普通住宅高层(共19层)					,120平方米,40.50万                    
        3室2厅1卫，,        115万,常平横江厦,新天美地花园,2008年,普通住宅中层(共18层)					,87平方米,34.50万                    
        2室2厅1卫，,        122万,常平横江厦,金凯水都,2008年,普通住宅高层(共18层)					,87平方米,36.60万                    
        3室2厅2卫，,        76万,常平横江厦,丽城花园,2012年,普通住宅中层(共12层)					,96平方米,22.80万                    
        3室2厅2卫，,        150万,常平横江厦,世纪康城,2008年,普通住宅低层(共18层)					,105平方米,45.00万                    
        2室2厅2卫，,        62万,常平横江厦,丽景花园,2005年,普通住宅低层(共11层)					,75平方米,18.60万                    
        3室2厅2卫，,        146万,常平横江厦,山水雅居,2011年,普通住宅高层(共12层)					,117平方米,43.80万                    
        3室2厅2卫，,        155万,常平横江厦,金凯水都,2015年,普通住宅中层(共18层)					,105平方米,46.50万                    
        4室2厅2卫，,        150万,常平横江厦,碧湖东岸,2015年,普通住宅中层(共26层)					,122平方米,45.00万                    
        2室1厅1卫，,        78万,常平横江厦,新天美地花园,2004年,普通住宅中层(共12层)					,78平方米,23.40万                    
        2室2厅1卫，,        90万,常平横江厦,世纪康城,2006年,普通住宅中层(共20层)					,77平方米,27.00万                    
        3室2厅2卫，,        120万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,89平方米,36.00万                    
        2室2厅1卫，,        70万,常平横江厦,丽景花园,2006年,普通住宅共1层					,75平方米,21.00万                    
        2室2厅2卫，,        120万,常平横江厦,丽景花园,2009年,普通住宅中层(共28层)					,91平方米,36.00万                    
        2室2厅2卫，,        90万,常平横江厦,丽景花园,2008年,普通住宅高层(共28层)					,86平方米,27.00万                    
        3室2厅2卫，,        115万,常平横江厦,世纪康城,2008年,普通住宅中层(共18层)					,98.4平方米,34.50万                    
        3室2厅1卫，,        76万,常平横江厦,丽城花园,2000年,普通住宅中层(共12层)					,103平方米,22.80万                    
        4室2厅2卫，,        168万,常平横江厦,世纪康城,2008年,普通住宅高层(共20层)					,138平方米,50.40万                    
        3室2厅2卫，,        145万,常平横江厦,世纪康城,2005年,普通住宅中层(共12层)					,98平方米,43.50万                    
        3室2厅2卫，,        92万,常平横江厦,金田花园,2012年,普通住宅高层(共21层)					,116平方米,27.60万                    
        4室2厅2卫，,        220万,常平横江厦,金凯水都,2008年,普通住宅低层(共18层)					,185平方米,66.00万                    
        3室2厅2卫，,        88万,常平横江厦,丽景花园,2005年,普通住宅中层(共32层)					,101平方米,26.40万                    
        3室2厅2卫，,        110万,常平横江厦,金田花园花域,1992年,普通住宅共1层					,111平方米,33.00万                    
        3室2厅2卫，,        148万,常平横江厦,新城市花园,2001年,普通住宅高层(共17层)					,115平方米,44.40万                    
        3室2厅2卫，,        125万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,89平方米,37.50万                    
        3室2厅2卫，,        138万,常平横江厦,新天美地花园,2008年,普通住宅低层(共28层)					,96平方米,41.40万                    
        3室2厅2卫，,        120万,常平横江厦,新天美地花园,2005年,普通住宅中层(共17层)					,93平方米,36.00万                    
        2室2厅1卫，,        67万,常平横江厦,丽城花园,2010年,普通住宅共1层					,80平方米,20.10万                    
        2室2厅1卫，,        118万,常平横江厦,金凯水都,2008年,普通住宅中层(共18层)					,78平方米,35.40万                    
        2室2厅1卫，,        82万,常平横江厦,新天美地花园,2008年,普通住宅中层(共20层)					,68平方米,24.60万                    
        3室3厅3卫，,        135万,常平横江厦,星汇置地广场,2015年,普通住宅高层(共21层)					,100平方米,40.50万                    
        3室2厅2卫，,        130万,常平横江厦,世纪康城,2010年,普通住宅低层(共19层)					,102平方米,39.00万                    
        2室2厅1卫，,        122万,常平横江厦,金凯水都,2008年,普通住宅低层(共18层)					,87平方米,36.60万                    
        3室2厅1卫，,        96万,常平横江厦,金田花园,2002年,普通住宅高层(共18层)					,89平方米,28.80万                    
        2室2厅2卫，,        75万,常平横江厦,丽都花园,2002年,普通住宅低层(共26层)					,88平方米,22.50万                    
        2室2厅2卫，,        128万,常平横江厦,金凯水都,2010年,普通住宅低层(共20层)					,86平方米,38.40万                    
        2室2厅1卫，,        58万,常平横江厦,丽景花园,1998年,普通住宅中层(共7层)					,74平方米,17.40万                    
        2室2厅2卫，,        140万,常平横江厦,星汇置地广场,2015年,普通住宅中层(共28层)					,110平方米,42.00万                    
        2室2厅1卫，,        98万,常平横江厦,新天美地花园,2002年,普通住宅高层(共26层)					,68平方米,29.40万                    
        3室2厅2卫，,        130万,常平横江厦,花和小城,2011年,普通住宅中层(共6层)					,113.2平方米,39.00万                    
        3室2厅2卫，,        128万,常平横江厦,新天美地花园,2008年,普通住宅中层(共24层)					,100平方米,38.40万                    
        2室2厅1卫，,        45.8万,常平横江厦,丽都花园,2002年,普通住宅低层(共6层)					,68平方米,13.74万                    
        3室2厅2卫，,        111万,常平横江厦,碧湖东岸,2015年,普通住宅中层(共26层)					,93平方米,33.30万                    
        3室2厅2卫，,        120万,常平横江厦,丽景花园,2008年,普通住宅低层(共24层)					,116平方米,36.00万                    
        4室2厅2卫，,        228万,常平横江厦,金凯水都,2015年,普通住宅高层(共17层)					,156平方米,68.40万                    
        3室2厅2卫，,        98万,常平横江厦,新天美地花园,2009年,普通住宅中层(共21层)					,93平方米,29.40万                    
        3室2厅1卫，,        110万,常平横江厦,丽景花园,2009年,普通住宅中层(共28层)					,101平方米,33.00万                    
        2室2厅1卫，,        86万,常平横江厦,丽景花园,2008年,普通住宅中层(共24层)					,78平方米,25.80万                    
        3室2厅2卫，,        138万,常平横江厦,新天美地花园,2008年,普通住宅中层(共26层)					,96平方米,41.40万                    
        3室2厅2卫，,        155万,常平横江厦,新城市花园,2018年,普通住宅高层(共17层)					,115平方米,46.50万                    
        2室2厅1卫，,        70万,常平横江厦,丽景花园,2012年,普通住宅低层(共8层)					,91平方米,21.00万                    
        3室2厅2卫，,        170万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,115平方米,51.00万                    
        3室2厅2卫，,        174万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,115平方米,52.20万                    
        2室2厅1卫，,        70万,常平横江厦,聚富花园,2008年,普通住宅高层(共7层)					,80平方米,21.00万                    
        3室2厅2卫，,        133万,常平横江厦,山水雅居,2007年,普通住宅中层(共11层)					,106平方米,39.90万                    
        2室2厅2卫，,        72万,常平横江厦,丽景花园,2008年,普通住宅中层(共28层)					,86平方米,21.60万                    
        2室2厅1卫，,        66万,常平横江厦,丽景花园,2003年,普通住宅高层(共39层)					,68平方米,19.80万                    
        3室2厅2卫，,        70万,常平横江厦,金田花园,2010年,普通住宅中层(共22层)					,75平方米,21.00万                    
        2室2厅1卫，,        105万,常平横江厦,阳光粤港,2010年,普通住宅中层(共18层)					,90平方米,31.50万                    
        3室2厅2卫，,        110万,常平横江厦,新天美地花园,2012年,普通住宅中层(共18层)					,93平方米,33.00万                    
        2室2厅2卫，,        120万,常平横江厦,帝豪碧湖花园,2012年,普通住宅中层(共13层)					,88平方米,36.00万                    
        3室2厅2卫，,        100万,常平横江厦,新天美地花园,2002年,普通住宅低层(共12层)					,80平方米,30.00万                    
        3室2厅2卫，,        142万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,105平方米,42.60万                    
        3室2厅2卫，,        88万,常平横江厦,玫瑰花园小区(别墅),2012年,普通住宅中层(共30层)					,79平方米,26.40万                    
        3室2厅2卫，,        160万,常平横江厦,玫瑰花园小区,2005年,普通住宅低层(共6层)					,160平方米,48.00万                    
        3室2厅2卫，,        100万,常平横江厦,丽城花园,2012年,普通住宅中层(共28层)					,110平方米,30.00万                    
        4室2厅2卫，,        180万,常平横江厦,山水雅居,2010年,普通住宅低层(共18层)					,139平方米,54.00万                    
        3室2厅2卫，,        130万,常平横江厦,世纪康城,2008年,普通住宅高层(共20层)					,105平方米,39.00万                    
        2室2厅1卫，,        98万,常平横江厦,世纪康城,2008年,普通住宅低层(共18层)					,76平方米,29.40万                    
        2室2厅2卫，,        80万,常平横江厦,新天美地花园,2001年,普通住宅高层(共12层)					,70平方米,24.00万                    
        4室2厅2卫，,        165万,常平横江厦,世纪康城,2008年,普通住宅高层(共20层)					,130平方米,49.50万                    
        3室2厅2卫，,        166万,常平横江厦,新城市花园,2016年,其它高层(共17层)					,115平方米,49.80万                    
        2室2厅1卫，,        85万,常平横江厦,阳光粤港,2010年,普通住宅中层(共11层)					,89平方米,25.50万                    
        3室2厅2卫，,        145万,常平横江厦,世纪康城,2008年,普通住宅中层(共20层)					,101平方米,43.50万                    
        2室2厅1卫，,        96万,常平横江厦,世纪康城,2008年,普通住宅中层(共16层)					,74平方米,28.80万                    
        2室1厅1卫，,        118万,常平横江厦,丽景花园,2007年,普通住宅中层(共28层)					,86平方米,35.40万                    
        3室2厅2卫，,        130万,常平横江厦,世纪康城,2010年,普通住宅低层(共19层)					,102平方米,39.00万                    
        3室2厅2卫，,        100万,常平横江厦,聚富花园,2003年,普通住宅中层(共12层)					,97平方米,30.00万                    
        5室3厅3卫，,        380万,常平横江厦,帝豪碧湖花园(别墅),2005年,别墅共3层					,197平方米,114.00万                    
        3室2厅2卫，,        78万,常平横江厦,玫瑰花园小区,2009年,普通住宅中层(共20层)					,82平方米,23.40万                    
        3室2厅1卫，,        110万,常平横江厦,新天美地花园,2006年,普通住宅中层(共26层)					,93平方米,33.00万                    
        1室1厅1卫，,        245万,常平横江厦,星汇置地广场,2016年,其它高层(共22层)					,200平方米,73.50万                    
        2室2厅1卫，,        80万,常平横江厦,阳光粤港,2011年,普通住宅中层(共11层)					,89平方米,24.00万                    
        2室2厅1卫，,        95万,常平横江厦,世纪康城,2009年,普通住宅中层(共20层)					,78平方米,28.50万                    
        2室1厅1卫，,        63万,常平横江厦,丽景花园,1998年,普通住宅中层(共12层)					,66平方米,18.90万                    
        4室2厅3卫，,        150万,常平横江厦,丽景花园,2004年,普通住宅中层(共33层)					,135平方米,45.00万                    
        2室2厅2卫，,        99万,常平横江厦,世纪康城,2005年,普通住宅低层(共12层)					,77平方米,29.70万                    
        3室2厅2卫，,        152万,常平横江厦,世纪康城,2007年,普通住宅低层(共20层)					,105平方米,45.60万                    
        2室2厅1卫，,        112万,常平横江厦,东田山畔华庭,2010年,普通住宅中层(共12层)					,83平方米,33.60万                    
        4室2厅2卫，,        155万,常平横江厦,新天美地花园,2008年,普通住宅高层(共21层)					,142平方米,46.50万                    
        2室1厅1卫，,        70万,常平横江厦,丽景花园,2004年,普通住宅中层(共32层)					,75平方米,21.00万                    
        3室2厅2卫，,        200万,常平横江厦,金凯水都,2010年,普通住宅中层(共18层)					,139平方米,60.00万                    
        4室2厅2卫，,        170万,常平横江厦,世纪康城,2007年,普通住宅低层(共19层)					,130.6平方米,51.00万                    
        3室2厅2卫，,        135万,常平横江厦,新城市花园,2017年,普通住宅高层(共20层)					,105平方米,40.50万                    
        3室2厅2卫，,        160万,常平横江厦,世纪康城,2010年,普通住宅高层(共20层)					,140平方米,48.00万                    
        2室2厅2卫，,        140万,常平横江厦,金凯水都,2008年,普通住宅高层(共18层)					,91平方米,42.00万                    
        3室2厅2卫，,        150万,常平横江厦,帝豪碧湖花园,2008年,普通住宅中层(共20层)					,115.6平方米,45.00万                    
        2室1厅1卫，,        70万,常平横江厦,丽景花园,2004年,普通住宅中层(共32层)					,75平方米,21.00万                    
        4室2厅2卫，,        200万,常平横江厦,世纪康城,2005年,普通住宅中层(共20层)					,130平方米,60.00万                    
        4室2厅2卫，,        168万,常平横江厦,新天美地花园,2008年,普通住宅低层(共21层)					,142平方米,50.40万                    
        2室2厅1卫，,        82万,常平横江厦,丽景花园,2005年,普通住宅高层(共20层)					,78平方米,24.60万                    
        3室2厅2卫，,        95万,常平横江厦,丽景花园,2008年,普通住宅中层(共24层)					,102平方米,28.50万                    
        2室2厅1卫，,        110万,常平横江厦,东田山畔华庭,2015年,普通住宅低层(共25层)					,86平方米,33.00万                    
        3室2厅2卫，,        110万,常平横江厦,花和小城,2010年,普通住宅中层(共6层)					,106平方米,33.00万                    
        2室2厅1卫，,        85万,常平横江厦,新天美地花园,2008年,普通住宅中层(共20层)					,70平方米,25.50万                    
        3室2厅2卫，,        76万,常平横江厦,丽城花园,2012年,普通住宅中层(共12层)					,96平方米,22.80万                    
        2室1厅1卫，,        62万,常平横江厦,丽城花园,2002年,普通住宅低层(共7层)					,66平方米,18.60万                    
        4室2厅2卫，,        130万,常平横江厦,新城市花园,2015年,普通住宅高层(共27层)					,103.8平方米,39.00万                    
        3室2厅2卫，,        148万,常平横江厦,新城市花园,2018年,普通住宅高层(共21层)					,105平方米,44.40万                    
        3室2厅2卫，,        119万,常平横江厦,新天美地花园,2010年,普通住宅高层(共20层)					,93平方米,35.70万                    
        4室2厅2卫，,        185万,常平横江厦,新城市花园,2016年,其它高层(共17层)					,132平方米,55.50万                    
        2室2厅2卫，,        97万,常平横江厦,新天美地花园,2004年,普通住宅中层(共12层)					,75.4平方米,29.10万                    
        3室2厅2卫，,        136万,常平横江厦,新城市花园,2016年,普通住宅中层(共28层)					,105平方米,40.80万                    
        3室2厅2卫，,        118万,常平横江厦,丽景花园,2017年,普通住宅中层(共30层)					,93平方米,35.40万                    
        3室2厅1卫，,        100万,常平横江厦,丽景花园,2000年,普通住宅中层(共32层)					,101平方米,30.00万                    
        4室2厅2卫，,        220万,常平横江厦,金凯水都,2008年,普通住宅低层(共18层)					,185平方米,66.00万                    
        3室2厅2卫，,        151万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,105平方米,45.30万                    
        2室2厅1卫，,        70万,常平横江厦,丽景花园,2004年,普通住宅中层(共33层)					,75平方米,21.00万                    
        2室2厅2卫，,        140万,常平横江厦,金凯水都,2009年,普通住宅中层(共20层)					,90平方米,42.00万                    
        4室2厅2卫，,        160万,常平横江厦,世纪康城,2005年,普通住宅高层(共20层)					,140平方米,48.00万                    
        3室2厅2卫，,        100万,常平横江厦,金田花园,2010年,普通住宅低层(共11层)					,98平方米,30.00万                    
        3室2厅2卫，,        140万,常平横江厦,世纪康城,2006年,普通住宅低层(共20层)					,98平方米,42.00万                    
        2室2厅1卫，,        96万,常平横江厦,世纪康城,2006年,普通住宅高层(共26层)					,78平方米,28.80万                    
        2室2厅2卫，,        69万,常平横江厦,聚富花园,2006年,普通住宅高层(共12层)					,75平方米,20.70万                    
        4室2厅3卫，,        275万,常平横江厦,金凯水都,2015年,普通住宅中层(共18层)					,178平方米,82.50万                    
        4室2厅2卫，,        145万,常平横江厦,丽都花园,2008年,别墅共3层					,121平方米,43.50万                    
        3室2厅2卫，,        111万,常平横江厦,新天美地花园,2012年,普通住宅高层(共17层)					,95平方米,33.30万                    
        3室2厅2卫，,        115万,常平横江厦,新城市花园,2017年,普通住宅中层(共22层)					,89平方米,34.50万                    
        2室2厅2卫，,        95万,常平横江厦,常平广场,2000年,普通住宅中层(共25层)					,92平方米,28.50万                    
        2室2厅1卫，,        70万,常平横江厦,金田花园,2002年,普通住宅高层(共28层)					,80平方米,21.00万                    
        3室2厅2卫，,        150万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,115平方米,45.00万                    
        2室2厅1卫，,        70万,常平横江厦,新天美地花园,2002年,普通住宅高层(共12层)					,60平方米,21.00万                    
        3室2厅2卫，,        87万,常平横江厦,丽城花园,2000年,普通住宅中层(共7层)					,103平方米,26.10万                    
        3室2厅2卫，,        116万,常平横江厦,世纪康城,2008年,普通住宅中层(共18层)					,98.4平方米,34.80万                    
        2室2厅2卫，,        73万,常平横江厦,丽都花园,2000年,普通住宅低层(共30层)					,78平方米,21.90万                    
        2室2厅1卫，,        405万,常平横江厦,星汇置地广场,2018年,其它高层(共21层)					,300平方米,121.50万                    
        3室2厅2卫，,        142万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,105平方米,42.60万                    
        3室2厅2卫，,        150万,常平横江厦,世纪康城,2008年,普通住宅中层(共20层)					,105平方米,45.00万                    
        4室2厅3卫，,        460万,常平横江厦,金凯水都(别墅),2008年,别墅共1层					,241平方米,138.00万                    
        3室2厅2卫，,        150万,常平横江厦,山水雅居,2008年,普通住宅中层(共11层)					,143平方米,45.00万                    
        2室2厅1卫，,        72万,常平横江厦,新天美地花园,2003年,普通住宅中层(共13层)					,62平方米,21.60万                    
        3室2厅2卫，,        73万,常平横江厦,丽城花园,2014年,普通住宅中层(共28层)					,85平方米,21.90万                    
        2室2厅1卫，,        99万,常平横江厦,聚富花园,2000年,普通住宅中层(共18层)					,89平方米,29.70万                    
        3室2厅2卫，,        135万,常平横江厦,世纪康城,2008年,普通住宅中层(共20层)					,102平方米,40.50万                    
        3室2厅2卫，,        105万,常平横江厦,阳光粤港,2011年,普通住宅高层(共11层)					,95平方米,31.50万                    
        2室2厅2卫，,        90万,常平横江厦,丽景花园,2010年,普通住宅低层(共24层)					,86平方米,27.00万                    
        3室2厅2卫，,        135万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,105平方米,40.50万                    
        3室2厅2卫，,        115万,常平横江厦,新天美地花园,2010年,普通住宅中层(共12层)					,86平方米,34.50万                    
        3室2厅2卫，,        65万,常平横江厦,丽城花园,2011年,普通住宅中层(共22层)					,95平方米,19.50万                    
        3室2厅2卫，,        142万,常平横江厦,丽景花园,2008年,普通住宅高层(共24层)					,120平方米,42.60万                    
        3室2厅2卫，,        85万,常平横江厦,丽城花园,1999年,普通住宅低层(共7层)					,96平方米,25.50万                    
        4室2厅2卫，,        155万,常平横江厦,丽景花园,2005年,普通住宅中层(共33层)					,135.4平方米,46.50万                    
        4室2厅2卫，,        199万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,132平方米,59.70万                    
        3室2厅2卫，,        155万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,99平方米,46.50万                    
        3室2厅2卫，,        118万,常平横江厦,新天美地花园,2009年,普通住宅中层(共18层)					,93平方米,35.40万                    
        3室2厅2卫，,        85万,常平横江厦,丽城花园,2000年,普通住宅共1层					,103平方米,25.50万                    
        3室2厅2卫，,        158万,常平横江厦,碧湖东岸,2015年,普通住宅中层(共24层)					,122平方米,47.40万                    
        4室2厅2卫，,        155万,常平横江厦,世纪康城,2008年,普通住宅低层(共17层)					,129平方米,46.50万                    
        2室2厅2卫，,        130万,常平横江厦,帝豪碧湖花园,2006年,普通住宅高层(共18层)					,88平方米,39.00万                    
        2室2厅1卫，,        78万,常平横江厦,丽景花园,2005年,普通住宅中层(共24层)					,68平方米,23.40万                    
        3室2厅1卫，,        131万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,89平方米,39.30万                    
        3室2厅2卫，,        67.5万,常平横江厦,丽城花园,2006年,普通住宅低层(共15层)					,108平方米,20.25万                    
        3室2厅2卫，,        150万,常平横江厦,花和小城,2009年,普通住宅低层(共6层)					,113平方米,45.00万                    
        3室2厅2卫，,        68万,常平横江厦,丽城花园,2005年,普通住宅中层(共18层)					,97平方米,20.40万                    
        2室2厅2卫，,        75万,常平横江厦,丽都花园,2001年,普通住宅低层(共30层)					,78平方米,22.50万                    
        3室2厅2卫，,        105万,常平横江厦,帝豪碧湖花园,2002年,普通住宅中层(共20层)					,95平方米,31.50万                    
        2室1厅1卫，,        80万,常平横江厦,丽景花园,2004年,普通住宅高层(共32层)					,75平方米,24.00万                    
        2室2厅1卫，,        85万,常平横江厦,帝豪碧湖花园,2009年,普通住宅中层(共20层)					,70平方米,25.50万                    
        3室2厅2卫，,        148万,常平横江厦,新城市花园,2018年,普通住宅高层(共21层)					,105平方米,44.40万                    
        2室2厅1卫，,        60万,常平横江厦,丽景花园,2008年,普通住宅中层(共6层)					,78平方米,18.00万                    
        3室2厅1卫，,        88万,常平横江厦,帝豪碧湖花园,2008年,普通住宅中层(共18层)					,92平方米,26.40万                    
        3室2厅2卫，,        142万,常平横江厦,山水雅居,2010年,普通住宅高层(共12层)					,117平方米,42.60万                    
        1室1厅1卫，,        177万,常平横江厦,星汇置地广场,2018年,其它中层(共21层)					,130平方米,53.10万                    
        3室2厅3卫，,        130万,常平横江厦,丽景花园,2005年,普通住宅低层(共12层)					,118平方米,39.00万                    
        3室2厅2卫，,        170万,常平横江厦,世纪康城,2010年,普通住宅高层(共20层)					,140平方米,51.00万                    
        2室2厅1卫，,        55万,常平横江厦,好运广场,2001年,普通住宅高层(共30层)					,69平方米,16.50万                    
        3室2厅2卫，,        138万,常平横江厦,新天美地花园,2008年,普通住宅中层(共26层)					,96平方米,41.40万                    
        3室2厅2卫，,        85万,常平横江厦,金田花园,2002年,普通住宅中层(共25层)					,94平方米,25.50万                    
        3室2厅1卫，,        118万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,89平方米,35.40万                    
        3室2厅2卫，,        140万,常平横江厦,新城市花园,2017年,普通住宅中层(共18层)					,105平方米,42.00万                    
        3室2厅2卫，,        148万,常平横江厦,世纪康城,2008年,普通住宅中层(共23层)					,100平方米,44.40万                    
        2室2厅2卫，,        78万,常平横江厦,聚富花园,2008年,普通住宅高层(共11层)					,88平方米,23.40万                    
        3室2厅2卫，,        145万,常平横江厦,帝豪碧湖花园,2009年,普通住宅高层(共20层)					,122平方米,43.50万                    
        1室1厅1卫，,        30万,常平横江厦,丽景花园,2008年,普通住宅中层(共28层)					,34平方米,9.00万                    
        3室2厅2卫，,        150万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,105平方米,45.00万                    
        2室2厅1卫，,        60万,常平横江厦,丽城花园,2010年,普通住宅中层(共6层)					,80平方米,18.00万                    
        2室2厅1卫，,        60万,常平横江厦,丽城花园,1993年,普通住宅中层(共12层)					,87平方米,18.00万                    
        3室2厅1卫，,        130万,常平横江厦,新城市花园,2016年,普通住宅高层(共17层)					,89平方米,39.00万                    
        3室2厅2卫，,        130万,常平横江厦,金凯水都,2008年,普通住宅中层(共18层)					,92平方米,39.00万                    
        4室2厅2卫，,        168万,常平横江厦,世纪康城,2008年,普通住宅高层(共20层)					,138平方米,50.40万                    
        3室2厅1卫，,        98万,常平横江厦,新天美地花园,2004年,普通住宅低层(共12层)					,80平方米,29.40万                    
        2室2厅2卫，,        65万,常平横江厦,丽城花园,2000年,普通住宅中层(共9层)					,91.4平方米,19.50万                    
        3室2厅2卫，,        152万,常平横江厦,丽景花园,2008年,普通住宅低层(共24层)					,117平方米,45.60万                    
        3室2厅2卫，,        67.5万,常平横江厦,丽城花园,2006年,普通住宅低层(共15层)					,108平方米,20.25万                    
        2室2厅2卫，,        62万,常平横江厦,丽景花园,2005年,普通住宅低层(共11层)					,75平方米,18.60万                    
        3室2厅2卫，,        60万,常平横江厦,丽城花园,1998年,普通住宅中层(共7层)					,96平方米,18.00万                    
        2室2厅1卫，,        78万,常平横江厦,丽景花园,2000年,普通住宅低层(共32层)					,75平方米,23.40万                    
        2室2厅1卫，,        93万,常平横江厦,世纪康城,2009年,普通住宅中层(共22层)					,78平方米,27.90万                    
        3室2厅2卫，,        155万,常平横江厦,新天美地花园,2005年,普通住宅低层(共21层)					,108平方米,46.50万                    
        2室2厅1卫，,        69万,常平横江厦,丽城花园,2010年,普通住宅共28层					,80平方米,20.70万                    
        4室2厅3卫，,        280万,常平横江厦,金凯水都,2008年,普通住宅低层(共20层)					,185平方米,84.00万                    
        3室2厅2卫，,        130万,常平横江厦,花和小城,2011年,普通住宅中层(共6层)					,113.2平方米,39.00万                    
        3室2厅2卫，,        160万,常平横江厦,花和小城,2009年,普通住宅中层(共6层)					,135平方米,48.00万                    
        4室2厅4卫，,        100万,常平横江厦,丽城花园,2008年,普通住宅中层(共8层)					,163平方米,30.00万                    
        3室2厅2卫，,        98万,常平横江厦,新天美地花园,2004年,普通住宅中层(共12层)					,86平方米,29.40万                    
        3室2厅2卫，,        118万,常平横江厦,新城市花园,2016年,普通住宅共17层					,89平方米,35.40万                    
        3室2厅2卫，,        105万,常平横江厦,丽都花园,2012年,普通住宅中层(共30层)					,95平方米,31.50万                    
        2室2厅1卫，,        75万,常平横江厦,丽城花园,2012年,普通住宅中层(共16层)					,100平方米,22.50万                    
        3室2厅2卫，,        85万,常平横江厦,丽城花园,1999年,普通住宅低层(共7层)					,96.3平方米,25.50万                    
        3室2厅2卫，,        120万,常平横江厦,新天美地花园,2007年,普通住宅中层(共21层)					,108平方米,36.00万                    
        3室2厅2卫，,        150万,常平横江厦,帝豪碧湖花园,2004年,普通住宅中层(共22层)					,124平方米,45.00万                    
        3室2厅2卫，,        149万,常平横江厦,新城市花园,2016年,其它低层(共17层)					,115平方米,44.70万                    
        2室2厅1卫，,        78万,常平横江厦,丽景花园,2010年,普通住宅高层(共25层)					,68平方米,23.40万                    
        3室2厅2卫，,        150万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,105平方米,45.00万                    
        3室2厅1卫，,        125万,常平横江厦,新城市花园,2017年,普通住宅中层(共17层)					,89平方米,37.50万                    
        3室2厅1卫，,        130万,常平横江厦,世纪康城,2008年,普通住宅中层(共22层)					,103平方米,39.00万                    
        2室2厅1卫，,        82万,常平横江厦,丽景花园,2002年,普通住宅高层(共20层)					,80平方米,24.60万                    
        3室2厅2卫，,        118万,常平横江厦,新天美地花园,2004年,普通住宅中层(共22层)					,93平方米,35.40万                    
        3室2厅2卫，,        155万,常平横江厦,新城市花园,2018年,普通住宅高层(共17层)					,115平方米,46.50万                    
        2室2厅2卫，,        69万,常平横江厦,聚富花园,2006年,普通住宅高层(共12层)					,75平方米,20.70万                    
        2室2厅1卫，,        75万,常平横江厦,阳光粤港,2008年,普通住宅中层(共11层)					,78平方米,22.50万                    
        3室2厅2卫，,        135万,常平横江厦,新城市花园,2017年,普通住宅高层(共17层)					,105平方米,40.50万                    
        1室1厅1卫，,        45万,常平横江厦,丽景花园,2008年,普通住宅低层(共28层)					,40平方米,13.50万                    
        4室2厅2卫，,        219万,常平横江厦,金凯水都,2008年,普通住宅高层(共18层)					,185平方米,65.70万                    
        3室2厅2卫，,        165万,常平横江厦,新城市花园,2016年,普通住宅中层(共17层)					,115平方米,49.50万                    
        3室2厅2卫，,        86万,常平横江厦,丽景花园,2006年,普通住宅中层(共39层)					,86平方米,25.80万                    
        2室2厅2卫，,        68万,常平横江厦,丽景花园,2008年,普通住宅中层(共11层)					,76平方米,20.40万                    
        3室2厅2卫，,        135万,常平横江厦,世纪康城,2005年,普通住宅低层(共12层)					,98.4平方米,40.50万                    
        2室2厅2卫，,        65万,常平横江厦,丽景花园,2003年,普通住宅中层(共12层)					,70平方米,19.50万                    
        2室2厅1卫，,        88万,常平横江厦,新城市花园,2017年,普通住宅高层(共22层)					,68平方米,26.40万                    
        3室2厅1卫，,        72万,常平横江厦,丽景花园,2000年,普通住宅中层(共8层)					,91平方米,21.60万                    
        2室2厅1卫，,        80万,常平横江厦,阳光粤港,2008年,普通住宅高层(共11层)					,87平方米,24.00万                    
        3室2厅1卫，,        115万,常平横江厦,新天美地花园,2008年,普通住宅中层(共11层)					,87平方米,34.50万                    
        3室2厅2卫，,        89万,常平横江厦,丽景花园,2012年,普通住宅低层(共33层)					,93平方米,26.70万                    
        4室2厅2卫，,        260万,常平横江厦,金凯水都,2010年,普通住宅低层(共19层)					,184平方米,78.00万                    
        2室1厅1卫，,        113万,常平横江厦,东田山畔华庭,2014年,普通住宅中层(共12层)					,86平方米,33.90万                    
        3室2厅2卫，,        148万,常平横江厦,新城市花园,2018年,普通住宅高层(共21层)					,105平方米,44.40万                    
        3室2厅2卫，,        125万,常平横江厦,新天美地花园,2010年,普通住宅高层(共20层)					,105平方米,37.50万                    
